,,,Spreadsheet Map,,,,,,,,,,,,,,
,칠판,"blackboard, chalkboard",,조직,"group (with structure and a goal), organization, ring; tissue (group of cells); texture (of cloth)",,세탁,"washing (clothes), laundry",,운동장,"field, (sports) stadium (smaller); playground",,넥타이,necktie,,,
,수첩,"(pocket) notebook, personal organizer",,공동,"joint, group, collaboration; work together, cooperate",,세탁소,"laundry, dry cleaner's",,경기장,sports stadium (bigger),,,,,,
,일기,"diary, journal; one's lifetime, one's whole life; weather",,동아리,"club, society, group",,,,,경기,"game, match, event; economy, business; convulsion",,양복,suit,,,
,,,,클럽,"club, society, frat/sorority; club (nightclub); club (golf club)",,설거지,dishwashing,,놀이,"play, game, entertainment",,수영복,"swimsuit, bathing suit",,,
,,,,부대,"unit, party that acts together, troops, military camp; bag, sack",,쓰레기,"garbage, trash, waste",,장난,"game, playing (for fun); joke, trick (behavior)",,,,,,
,인간,"human being, person, mankind",,행사,"event, function, special occasion; use, exert, invoke, exercise (something)",,쓰레기통,"garbage can, waste basket; litter box",,수영,"swimming, bathing, swim",,유행,"fashion, trend; outbreak, spread, be prevalent",,,
,민족,"people, ethnic group, race",,출장,business trip; take part in,,휴지통,"trash can, wastebasket, recycling bin",,농구,basketball,,스타일,style,,,
,국민,"the public, people, citizen",,휴가,"vacation (in general), break, leave",,,,,야구,baseball,,탈,"mask, disguise; sickness; snag, trouble; prefix meaning ""escaping""",,,
,시민,citizen; city dweller,,휴가철,vacation/holiday season,,거실,living room,,축구,football (soccer); idiot,,화장품,"cosmetics, makeup",,,
,인구,population,,신혼여행,honeymoon,,,,,테니스,tennis,,화장,"make-up, putting on cosmetics; cremation",,,
,남녀,men and women,,,,,텔레비전,TV,,탁구,table tennis,,향수,"perfume, fragrance; homesickness, nostalgia",,,
,성별,"sex, gender",,경제,economy,,리모콘,remote control,,배구,volleyball,,거울,mirror; example,,,
,노약자,"elderly, weak people",,경제적,"financial, economic",,영화,movie,,골프,golf,,,,,,
,노인,"old people, senior citizen",,주식,"stocks, shares; staple food in a diet",,프로그램,"program, show (tv); program (computer)",,볼링,bowling,,,,,,
,젊은이,"the youth, young person, young adult",,무역,"trade, commerce",,방송국,broadcasting station/network,,배드민턴,badminton,,기술,"skill, technique, technology; description",,,
,개인,"individual, each person",,시장,market (both senses); mayor,,좌석,"seat; audience, crowd",,스키,"skiing, skis",,실력,"skill, ability, capability, talent (only tangible skills); force, strong action",,,
,인물,"person, individual, character, figure; look, appearance",,산업,industry,,노약자석,handicapped seating,,스케이트,"skates, skating",,기능,"function, role; skill",,,
,,,,공업,(manufacturing) industry,,빈자리,"empty seat, vacant spot",,태권도,Taekwondo,,노릇,"role (act as a role), function; job, work (can be demeaning); situation, circumstances",,,
,죽음,death,,광고,"advertisement (closer to widely reporting something), commercial; publicity",,관객,"audience, spectator",,권투,boxing,,작동,operation (of a device),,,
,살인,"murder, killing",,장보기,the act of going to a market to buy or sell items,,시청자,"viewer, TV audience",,윶놀이,yut (game 4 sticks),,재능,"talent, gift (for); genius, talented",,,
,인생,life (entirety)(refers to the entirety of life/has a more serious nuance so in some situations it would be awkward),,세일,sale (discount),,시청률,(viewer) ratings,,,,,재주,"talent (for something that anyone can have with enough practice), skill, gift (for)",,,
,평생,"lifetime, one's entire life until you die",,할인,discount,,채널,channel,,훈련,"training, practice, discipline (receive some sort of training/military or physical training)",,전문,"specialty, specialize; the whole text",,,
,삶,"life, living, existence (half way between 인생 and 생활 and therefore is interchangeable with either)",,쇼핑,shopping,,박수,"handclapping, applause",,연습실,practice room,,,,,,
,생명,life (state of being alive and the force that allows you to live); life (period of time something was maintained); life (core of something),,가게,"shop, store",,장르,genre,,수영장,swimming pool,,장점,"advantage, strength, strong point",,,
,생활,"life (act of living in a place); living (making a living), livelihood; life (act of living while doing a certain job or act)(day to day life (married life/daily life/school life)",,쇼핑센터,shopping center,,로맨스,"romance, love story",,노래방,karaoke room,,단점,"weakness, flaw, shortcoming (personality or thing that has defective or negative aspects to it)",,,
,목숨,life (power that allows you to breath and other actions that keep you alive),,백화점,department store,,드라마,drama (show),,소풍,"picnic, trip, outing",,,,,,
,일상생활,everyday life,,편의점,convenience store,,사극,"historical drama, historical film",,파티,party (social gathering),,어려움,"difficulty, trouble, problem, hardship",,,
,건강,health,,제품,"product, manufactured goods",,연기,"performance, acting",,송별회,farewell party,,,,,,
,나이,age,,신제품,new product,,주인공,main character,,잔치,"party, feast, banquet",,부족,"tribe; shortage, lack, deficiency, insufficiency",,,
,연세,age (hon.),,품목,"item name, list of goods",,주연,"main role, lead, star",,집들이,housewarming party,,,,,,
,살,"years of age (count); flesh, muscle, fat",,상품,"prize; product, goods, good product",,배우,"actor, actress",,초대장,(written) invitation,,질문,"question, query",,,
,동갑,the same age,,동료,"colleague, co-worker, peer",,연기자,"actor, actress (as a profession)",,공연,"public performance, concert, show",,조회,"inquiry (into), ask about something, check; morning meeting",,,
,살,flesh,,점원,"salesperson, clerk, shop assistant",,,,,전시회,"exhibition, show, display",,문제,"problem, question",,,
,피,blood,,손님,"guest, visitor; customer; passenger",,뉴스,news,,시상식,awards ceremony,,문제점,"problem, problem point (in something) drawback, the point in question",,,
,피부,skin,,고객,"customer, client",,소식,"news, news (from people you know); light eating",,예식장,"ceremony hall, wedding hall",,물음,question (less common),,,
,껍질,"skin, bark, peel, nutshell, shell, frame",,소비자,consumer,,신문,newspaper,,졸업식,graduation/commencement ceremony,,,,,,
,가죽,"leather, skin, hide",,,,,기사,"news article; driver, chauffeur; engineer",,코미디,comedy,,조사,"investigation, inquiry, look into, go over; poll, survey; postposition; eulogy",,,
,몸,"body, body (fundamental part of an object); status (a status or person of such status)",,금융,"finance, banking",,발표,"announcement, statement, presentation, publish, release",,축제,"festival, carnival",,,,,,
,온몸,entire body,,은행,bank,,아나운서,announcer,,놀이기구,amusement park rides,,귀띔,"hint, tip",,,
,신체,body (formal),,은행원,"teller, bank clerk",,예고,"advance notice, warning, previous notice",,놀이공원,amusement park,,,,,,
,,,,우체국,post office,,인터뷰,interview,,음악회,(sino) concert,,대답,"answer, response (closer to a general response to something)",,,
,,,,우표,(postage) stamp,,기자,"reporter, journalist, editor",,콘서트,concert,,답장,"response, , reply, answer (written letter etc)",,,
,모습,"figure, shape, features, appearance, look (human); trace, track",,치과,"dentist, dental surgery, dentistry, dentist's office",,보도,"report, coverage (media); sidewalk, pavement",,오페라,opera,,호응,(positive) response,,,
,외모,appearance (only for people),,서점,bookstore,,잡지,"magazine, journal",,대회,"mass meeting, convention; contest, tournament, competition(where many people gather)",,답,"answer (to), reply (to); answer; solution",,,
,모양,"shape, form, state, condition, way; grooming (non-human)",,책방,(less common) bookstore,,,,,경주,"race, run, sprint; Gyeongju",,동의,"agreement, agreeing",,,
,형태,"form, shape, type, kind(more abstract)",,미용실,"beauty parlor, hairdresser's",,인터넷,internet,,마라톤,marathon,,인정,"admitting, acknowledgement, accept",,,
,무늬,"design, pattern, figure",,약속,appointment; promise,,온라인,online,,,,,승인,"approval, acknowledgement",,,
,디자인,design,,예약,"reservation, booking, appointment",,컴퓨터,computer,,밖,"outside, out, exterior (can be abstract)",,찬성,"approval, agreement, consent",,,
,구석,"corner (inner area of a concave corner); remote place; side, part, point",,계약,"contract (with/between), agreement",,노트북,"notebook, laptop",,바깥,"outside, the open, exterior (can be descriptive)",,,,,,
,코너,"corner; department, section; feature",,,,,화면,"screen, monitor (computer), picture",,실외,"outdoors, outside the room or house",,,,,,
,,,,약국,pharmacy,,이메일,email,,겉,"the outside, exterior (of something), surface",,나머지,"the rest, the remainder; outcome, result",,,
,키,height (person),,약사,pharmacist,,홈페이지,"website, home page",,외부,"the outside, the exterior (more common as a standalone noun rather than being associated directly with a verb)",,결과,"result, outcome, consequence, effect",,,
,폭,"width, range, scope; piece; deeply, completely",,식당,"restaurant, cafeteria, diner, dining room",,이용자,user,,,,,성적,"grade, mark, results; sexual",,,
,크기,"size, volume",,매점,"snack stand, booth, cafeteria",,전화기,telephone,,,,,점수,"score, mark, grade; the number of items",,,
,길이,"length, distance, duration; forever, permanently",,한식집,Korean restaurant,,핸드폰,cell phone,,안,"inside, within; not; proposal",,효과,"effect, efficiency, effectiveness",,,
,높이,"height, depth (object); high, highly",,중국집,Chinese restaurant,,휴대전화,cell phone (formal),,속,inside; heart,,영향,"influence, effect, impact",,,
,무게,"weight; emphasis, authority",,일식집,Japanese restaurant,,전화,act of calling/using a telephone,,,,,감동적,"(noun) be moving, touching, impressive",,,
,다이어트,"diet, to go on a diet",,음식점,restaurant (formal),,공중전화,"public phone, pay phone",,실내,"indoors; inside the room, interior",,,,,,
,톤,ton (count); tone,,카페,cafe; coffee shop,,전화번호,phone number,,내부,inner space of an object,,끝,"end, finish, close; point, edge",,,
,주위,"around, the circumference, perimeter; surroundings",,커피숍,coffee shop,,연락처,contact information,,,,,강제,"coercion, by force",,,
,속도,"speed, pace, velocity",,다방,"tea room, coffee house",,수신,"reception (dealing with signals); recipient, act of receiving",,재미,fun,,,,,,
,,,,찻집,teahouse,,카메라,camera,,퍼즐,puzzle,,,,,,
,근육,muscle,,술집,"bar, pub",,촬영,"shooting, filming",,공,"ball, zero (sino); contribution, credit",,주제,"subject, theme, topic",,,
,뼈,"bone; hidden meanings, synopsis; sarcasm;  work one's fingers to the bone",,메뉴,menu,,비디오,video,,과다,excessive,,예,"example; yes; here, this",,,
,고개,"head, neck; hill, peak (climax)",,종업원,"waiter, waitress, employee, staff, worker",,녹화,video recording,,피곤,"fatigue, tired, exhausted",,보기,example; view,,,
,머리,"hair, head",,식사,meal; address (speech),,사진,"picture, photo",,운동,exercise,,경우,"case, circumstances, scenario; reasonable",,,
,머리카락,hair,,,,,그림,"picture, painting, drawing",,활동,"activity, movement; effort, campaign",,상황,"situation, state of things, circumstances, condition",,,
,금발,blonde hair,,,,,이미지,image; impression,,스트레스,"stress, strain",,사정,"(neg) reason; situation, circumstance; beg, plead; ejaculation; inspection",,,
,이마,forehead; top,,병원,"hospital, clinic",,영상,"picture, image, video; temperature above freezing",,압력,"pressure (general), strain",,현상,"the present situation, phenomenon, existing circumstances, status quo; develop, have something developed; reward, bounty, prize",,,
,얼굴,face,,의사,"doctor, physician; intention, idea",,장면,"scene, scene in a movie",,고민,"worry, trouble, concern (inner)",,상태,"condition, state",,,
